,fname1,fname2,distance,runtime
147,K00254_genesis.gr,K03636_fitch.gr,8,0.0018172264099121094
148,K00254_genesis.gr,K02257_fitch.gr,8,0.0023283958435058594
149,K00254_genesis.gr,K21636_sankoff.gr,8,0.0018284320831298828
150,K00254_genesis.gr,K01638_sankoff.gr,4,0.0014290809631347656
151,K00254_genesis.gr,K01255_sankoff.gr,8,0.0013816356658935547
152,K00254_genesis.gr,K00228_sankoff.gr,4,0.0015850067138671875
153,K00254_genesis.gr,K02276_sankoff.gr,3,0.0015633106231689453
154,K00254_genesis.gr,K02823_sankoff.gr,6,0.002612590789794922
155,K00254_genesis.gr,K02276_genesis.gr,3,0.002096414566040039
156,K00254_genesis.gr,K01669_fitch.gr,10,0.0014972686767578125
157,K00254_genesis.gr,K01669_sankoff.gr,9,0.0013861656188964844
158,K00254_genesis.gr,K03074_sankoff.gr,4,0.0015041828155517578
159,K00254_genesis.gr,K07133_sankoff.gr,11,0.0026934146881103516
160,K00254_genesis.gr,K08303_sankoff.gr,8,0.002575397491455078
161,K00254_genesis.gr,K03636_genesis.gr,7,0.0018839836120605469
162,K00254_genesis.gr,K04068_sankoff.gr,9,0.0014538764953613281
163,K00254_genesis.gr,K02275_genesis.gr,3,0.0013477802276611328
164,K00254_genesis.gr,K00632_fitch.gr,11,0.0016331672668457031
165,K00254_genesis.gr,K13628_fitch.gr,5,0.0015628337860107422
166,K00254_genesis.gr,K00254_fitch.gr,0,0.0025072097778320312
167,K00254_genesis.gr,K00164_genesis.gr,5,0.0021202564239501953
168,K00254_genesis.gr,K01011_genesis.gr,4,0.0014908313751220703
169,K00254_genesis.gr,K00135_sankoff.gr,8,0.0019724369049072266
170,K00254_genesis.gr,K01772_genesis.gr,9,0.0023474693298339844
171,K00254_genesis.gr,K06886_fitch.gr,8,0.005136728286743164
172,K00254_genesis.gr,K02259_sankoff.gr,4,0.0021355152130126953
173,K00254_genesis.gr,K21636_fitch.gr,12,0.0014693737030029297
174,K00254_genesis.gr,K02257_genesis.gr,6,0.0014955997467041016
175,K00254_genesis.gr,K03179_sankoff.gr,7,0.0023345947265625
176,K00254_genesis.gr,K00627_genesis.gr,6,0.0023195743560791016
177,K00254_genesis.gr,K07133_fitch.gr,14,0.002242565155029297
178,K00254_genesis.gr,K01255_fitch.gr,12,0.0020117759704589844
179,K00254_genesis.gr,K02221_fitch.gr,12,0.0015826225280761719
180,K00254_genesis.gr,K08303_fitch.gr,15,0.0021257400512695312
181,K00254_genesis.gr,K01011_fitch.gr,10,0.002978801727294922
182,K00254_genesis.gr,K07152_fitch.gr,6,0.002553224563598633
183,K00254_genesis.gr,K00228_genesis.gr,4,0.0023224353790283203
184,K00254_genesis.gr,K00162_sankoff.gr,7,0.0015411376953125
185,K00254_genesis.gr,K03737_sankoff.gr,5,0.0014202594757080078
186,K00254_genesis.gr,K07146_genesis.gr,7,0.003041982650756836
187,K00254_genesis.gr,K03667_genesis.gr,6,0.002620697021484375
188,K00254_genesis.gr,K03635_genesis.gr,7,0.0021560192108154297
189,K00254_genesis.gr,K00262_genesis.gr,5,0.0014553070068359375
190,K00254_genesis.gr,K17828_fitch.gr,13,0.0016143321990966797
191,K00254_genesis.gr,K01255_genesis.gr,4,0.0018622875213623047
